Episode;Episode title;KAY;Description
1;Roller Coaster Murder Case;MAIN PLOT;Introduction of main characters (Conan/Shinichi, Ran, Kogoro, Agasa, Megure, Gin, Vodka) and initial setup.
2;Company President's Daughter Kidnapping Case (Remastered);MAIN PLOT;Introduction of main characters (Conan/Shinichi, Ran, Kogoro, Agasa, Megure, Gin, Vodka) and initial setup.
3;An Idol's Locked Room Murder Case;MANGA CANON;Character development and introduction of new elements.
4;The Coded Map of the City Case;MANGA CANON;First focus episode for Mitsuhiko, Ayumi, and Genta.
5;The Fated Blue Birthday (TV Special);MANGA CANON;Minor character development and setup for episode 7.
6;Episode One: The Great Detective Turned Small (TV Special);FILLER;FILLER
7;Love Story at Police Headquarters ~Wedding Eve~ (TV Special);MAIN PLOT;"Main character development; Ran comes close to discovering Conan's identity."
8;The Secret of the Red Tear (TV Special);FILLER;FILLER
9;Tenkaichi Night Festival Murder Case (Remastered);FILLER;FILLER
10;Pro Soccer Player Blackmail Case;MANGA CANON;Introduction of recurring minor elements.
11;Moonlight Sonata Murder Case (1 Hour Special) (Rerun);MANGA CANON;Events referenced in later character development (episodes 77-78). (1 Hour Special)
12;Tears of Love for the Dark Knight (TV Special);MANGA CANON;Introduction of turbo skateboard, detective badge, and formation of the Detective Boys.
13;The Strange Person Hunt Murder Case;MAIN PLOT;Introduction of Miyano Akemi.
14;The Mysterious Shooting Message Case;FILLER;FILLER
15;Missing Corpse Murder Case;FILLER;FILLER
16;The Antique Collector Murder Case;FILLER;FILLER
17;Hijacked Department Store Case;FILLER;FILLER
18;A June Bride Murder Case;MANGA CANON;Introduction of Superintendent Matsumoto.
19;An Elevator Murder Case;FILLER;FILLER
20;A Haunted Mansion Murder Case;MANGA CANON;"Introduction of the Elasticity Suspenders; first introduction of the Detective Boys in the manga."
21;On Location, TV Drama Murder Case;FILLER;FILLER
22;Luxury Liner Serial Murder Case (Part 1);FILLER;FILLER
23;Luxury Liner Serial Murder Case (Part 2) (Remastered);FILLER;FILLER
24;The Mysterious Woman With Amnesia Case;FILLER;FILLER
25;The False Kidnapping and Hostage Case;FILLER;FILLER
26;Pet Dog John Murder Case;FILLER;FILLER
27;Kogoro's Class Reunion Murder Case (Part 1);MANGA CANON;Character development for Mōri Kogorō.
28;Kogoro's Class Reunion Murder Case (Part 2) (Remastered);MANGA CANON;Character development for Mōri Kogorō.
29;Computer Murder Case;FILLER;FILLER
30;Alibi Testimony Murder Case;FILLER;FILLER
31;TV Station Murder Case (Remastered);FILLER;FILLER
32;Coffee Shop Murder Case;MANGA CANON;Introduces Kisaki Eri, Ran’s mom.
33;Detective Boys Survival Case;FILLER;FILLER
34;Mountain Villa Bandaged Man Murder Case (Part 1);MANGA CANON;Suzuki Sonoko development. This case was her first appearance in the manga.
35;Mountain Villa Bandaged Man Murder Case (Part 2);MANGA CANON;Suzuki Sonoko development. This case was her first appearance in the manga.
36;Monday Night 7:30 p.m. Murder Case;FILLER;FILLER
37;Cactus's Flower Murder Case (Remastered);FILLER;FILLER
38;Akaoni Village Fire Festival Murder Case (Remastered);FILLER;FILLER
39;Wealthy Daughter Murder Case (Part 1);FILLER;FILLER
40;Wealthy Daughter Murder Case (Part 2) (Remastered);FILLER;FILLER
41;Victory Flag Tearing Case;FILLER;FILLER
42;Karaoke Box Murder Case (Remastered);FILLER;FILLER
43;Conan Edogawa Kidnapping Case (Remastered);MAIN PLOT;Introduces two characters who will have central roles in many main plot events. Also has some Black Organization reference.
44;Three Hotta Siblings Murder Case;FILLER;FILLER
45;Facial Mask Murder Case (Remastered);FILLER;FILLER
46;Alpine Hut in the Snowy Mountain Murder Case (Remastered);FILLER;FILLER
